"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"New Ayyanar Restaurant"|"600"|"Chettinad,North Indian,Chinese"|"Chennai"|"GST Road"|"https://www.zomato.com/chennai/new-ayyanar-restaurant-gst-road/info"|"40"|"Casual Dining"|"1130am to 4pm,7pm to 11pm(Mon-Sun)"|"Average"|"3.4"|"342"
"Liu's Waldorf"|"700"|"Chinese"|"Chennai"|"Adyar"|"https://www.zomato.com/chennai/lius-waldorf-adyar/info"|"40"|"Casual Dining"|"1130am to 3pm,630pm to 11pm(Mon-Sun)"|"Average"|"2.7"|"286"
"SSS Biriyani"|"300"|"Biryani"|"Chennai"|"K.K. Nagar"|"https://www.zomato.com/chennai/sss-biriyani-k-k-nagar/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.0"|"330"
"Dakshina Puram"|"250"|"Andhra,Kerala"|"Chennai"|"Karapakkam"|"https://www.zomato.com/chennai/dakshina-puram-karapakkam/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"196"
"Bengali fun foods"|"300"|"Bengali,North Indian"|"Chennai"|"Perungudi"|"https://www.zomato.com/chennai/bengali-fun-foods-perungudi/info"|"40"|"Quick Bites"|"Closed(Mon),8am to 11pm(Tue-Sun)"|"Very Good"|"4.0"|"224"
"The Royals Biryani"|"400"|"North Indian,Chinese,Mughlai,Biryani"|"Chennai"|"Perungudi"|"https://www.zomato.com/chennai/the-royals-biryani-perungudi/info"|"40"|"Casual Dining"|"12noon to 10pm(Mon-Sun)"|"Good"|"3.5"|"341"
"Kebabery"|"600"|"North Indian,Biryani,Kebab,Afghan"|"Chennai"|"Anna Nagar West"|"https://www.zomato.com/chennai/kebabery-anna-nagar-west/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.9"|"115"
"Home Meals"|"500"|"South Indian,North Indian,Chinese"|"Chennai"|"Kotturpuram"|"https://www.zomato.com/chennai/home-meals-kotturpuram/info"|"40"|"Quick Bites"|"12noon to 12midnight(Mon-Sun)"|"Very Good"|"4.1"|"226"
"Adyar Kitchen"|"550"|"Fast Food,Cafe,North Indian,Chinese,South Indian,Hyderabadi"|"Chennai"|"Adyar"|"https://www.zomato.com/chennai/adyar-kitchen-adyar/info"|"40"|"Casual Dining"|"12noon to 4am(Mon-Sun)"|"Good"|"3.6"|"211"
"UBCR Cafe & Resto"|"700"|"Cafe,Continental,Italian,Biryani,Burger,Chinese,North Indian"|"Chennai"|"Tambaram"|"https://www.zomato.com/chennai/ubcr-cafe-resto-tambaram/info"|"40"|"Café"|"11am to 11pm(Mon-Sun)"|"Very Good"|"4.0"|"172"
"Zamrud"|"800"|"Chinese,Arabian"|"Chennai"|"Velachery"|"https://www.zomato.com/chennai/zamrud-velachery/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Average"|"3.4"|"265"
"Rajputra"|"700"|"Fast Food,Mexican,North Indian,Chinese"|"Chennai"|"Nanganallur"|"https://www.zomato.com/chennai/rajputra-nanganallur/info"|"40"|"Casual Dining"|"11am to 11pm(Mon-Sun)"|"Good"|"3.8"|"221"
"Poppies Multicuisine Restaurant"|"350"|"Chinese,Arabian,Biryani,North Indian,BBQ"|"Chennai"|"Adyar"|"https://www.zomato.com/chennai/poppies-multicuisine-restaurant-adyar/info"|"40"|"Casual Dining"|"1130am to 12midnight(Mon-Sun)"|"Very Good"|"4.1"|"168"
"Brown House"|"600"|"BBQ,North Indian,Mughlai,Chinese,Fast Food"|"Chennai"|"Vandalur"|"https://www.zomato.com/chennai/brown-house-vandalur/info"|"40"|"Casual Dining"|"1130am to 11pm(Mon-Sun)"|"Good"|"3.6"|"246"
"Hungry Cars"|"800"|"Asian,Cafe,South Indian,Kebab,Chinese,Burger"|"Chennai"|"Egatoor"|"https://www.zomato.com/chennai/hungry-cars-egatoor/info"|"40"|"Casual Dining"|"11am to 3pm,7pm to 11pm(Mon-Sun)"|"Very Good"|"4.1"|"132"
